--2016-10-02 17:25:11--  http://10.0.0.3:5004/625M.log
Connecting to 10.0.0.3:5004... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.12’

 18750K .......... .......... .......... .......... ..........  2%  309M 3m22s
 18800K .......... .......... .......... .......... ..........  2%  344M 3m21s
 18850K .......... .......... .......... .......... ..........  2%  389M 3m21s
 18900K .......... .......... .......... .......... ..........  2%  397M 3m20s
 18950K .......... .......... .......... .......... ..........  2%  395M 3m20s
 19000K .......... .......... .......... .......... ..........  2%  338M 3m19s
 19050K .......... .......... .......... .......... ..........  2%  400M 3m19s
 19100K .......... .......... .......... .......... ..........  2%  394M 3m18s
 19150K .......... .......... .......... .......... ..........  3%  408M 3m18s
 19200K .......... .......... .......... .......... ..........  3%  333M 3m17s
 19250K .......... .......... .......... .......... ..........  3%  286M 3m17s
 19300K .......... .......... .......... .......... ..........  3%  249K 3m22s
 19350K .......... .......... .......... .......... ..........  3%  302M 3m22s
 19400K .......... .......... .......... .......... ..........  3%  385M 3m21s
 19450K .......... .......... .......... .......... ..........  3%  405M 3m21s
 19500K .......... .......... .......... .......... ..........  3%  541M 3m20s
 19550K .......... .......... .......... .......... ..........  3%  424M 3m20s
 19600K .......... .......... .......... .......... ..........  3%  259M 3m19s
 19650K .......... .......... .......... .......... ..........  3%  507M 3m19s
 19700K .......... .......... .......... .......... ..........  3%  366M 3m18s
 19750K .......... .......... .......... .......... ..........  3%  599M 3m18s
 19800K .......... .......... .......... .......... ..........  3%  346M 3m17s
 19850K .......... .......... .......... .......... ..........  3%  365M 3m17s
 19900K .......... .......... .......... .......... ..........  3%  336M 3m16s
 19950K .......... .......... .......... .......... ..........  3%  249K 3m22s
 20000K .......... .......... .......... .......... ..........  3%  113M 3m21s
 20050K .......... .......... .......... .......... ..........  3%  304M 3m21s
 20100K .......... .......... .......... .......... ..........  3%  269M 3m20s
 20150K .......... .......... .......... .......... ..........  3%  308M 3m20s
 20200K .......... .......... .......... .......... ..........  3%  263M 3m19s
 20250K .......... .......... .......... .......... ..........  3%  276M 3m19s
 20300K .......... .......... .......... .......... ..........  3%  287M 3m18s
 20350K .......... .......... .......... .......... ..........  3%  335M 3m18s
 20400K .......... .......... .......... .......... ..........  3%  247M 3m17s
