PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=187 ttl=64 time=0.247 ms
64 bytes from 10.0.0.5: icmp_seq=188 ttl=64 time=0.994 ms
64 bytes from 10.0.0.5: icmp_seq=189 ttl=64 time=0.467 ms
64 bytes from 10.0.0.5: icmp_seq=190 ttl=64 time=0.486 ms
64 bytes from 10.0.0.5: icmp_seq=191 ttl=64 time=1.03 ms
64 bytes from 10.0.0.5: icmp_seq=192 ttl=64 time=0.549 ms
64 bytes from 10.0.0.5: icmp_seq=193 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=194 ttl=64 time=1.04 ms
64 bytes from 10.0.0.5: icmp_seq=195 ttl=64 time=1.02 ms
64 bytes from 10.0.0.5: icmp_seq=196 ttl=64 time=0.454 ms
64 bytes from 10.0.0.5: icmp_seq=197 ttl=64 time=0.345 ms
64 bytes from 10.0.0.5: icmp_seq=198 ttl=64 time=0.492 ms
64 bytes from 10.0.0.5: icmp_seq=199 ttl=64 time=0.547 ms
64 bytes from 10.0.0.5: icmp_seq=200 ttl=64 time=0.844 ms
64 bytes from 10.0.0.5: icmp_seq=201 ttl=64 time=0.999 ms
64 bytes from 10.0.0.5: icmp_seq=202 ttl=64 time=0.987 ms
64 bytes from 10.0.0.5: icmp_seq=203 ttl=64 time=0.767 ms
64 bytes from 10.0.0.5: icmp_seq=204 ttl=64 time=0.393 ms
64 bytes from 10.0.0.5: icmp_seq=205 ttl=64 time=0.986 ms
64 bytes from 10.0.0.5: icmp_seq=206 ttl=64 time=0.520 ms
64 bytes from 10.0.0.5: icmp_seq=207 ttl=64 time=0.490 ms
64 bytes from 10.0.0.5: icmp_seq=208 ttl=64 time=0.412 ms
64 bytes from 10.0.0.5: icmp_seq=209 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=210 ttl=64 time=0.411 ms
64 bytes from 10.0.0.5: icmp_seq=211 ttl=64 time=0.432 ms
64 bytes from 10.0.0.5: icmp_seq=212 ttl=64 time=0.995 ms

--- 10.0.0.5 ping statistics ---
212 packets transmitted, 212 received, 0% packet loss, time 211098ms
rtt min/avg/max/mdev = 0.023/2.651/17.544/4.010 ms
